CYLT, ALERT, NU
CYUL, MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL, QC
CYOY, VALCARTIER (W/C J.H.L. (JOE) LECOMTE), QC
CYHU, MONTREAL/ST-HUBERT, QC
CWQG, VALCARTIER, QC
CYMO, MOOSONEE, ON
CYKQ, WASKAGANISH, QC
CYQA, MUSKOKA, ON
CYXZ, WAWA, ON
CZMD, MUSKRAT DAM, ON
CYNC, WEMINDJI, QC
CYHH, NEMISCAU, QC
CYVV, WIARTON, ON
CYYB, NORTH BAY, ON
CYQG, WINDSOR, ON
CYKP, OGOKI POST, ON
CYXX, ABBOTSFORD, BC
CYCD, NANAIMO, BC
CBBC, BELLA BELLA/BELLA BELLA (CAMPBELL ISLAND), BC
CYYF, PENTICTON, BC
CYBD, BELLA COOLA, BC
CYZT, PORT HARDY, BC
CYCP, BLUE RIVER, BC
CYPW, POWELL RIVER, BC
CYBL, CAMPBELL RIVER, BC
CYXS, PRINCE GEORGE, BC
CYCG, CASTLEGAR/WEST KOOTENAY REGIONAL, BC
CYPR, PRINCE RUPERT, BC
CYCQ, CHETWYND, BC
CYDC, PRINCETON, BC
CWCL, CLINTON, BC
CYQZ, QUESNEL, BC
CYIN, CLINTON/BLEIBLER RANCH, BC
CYRV, REVELSTOKE, BC
CYQQ, COMOX, BC
CYZP, SANDSPIT, BC
CYXC, CRANBROOK/CANADIAN ROCKIES INTL, BC
CYYD, SMITHERS, BC
CYDQ, DAWSON CREEK, BC
CWSW, SPARWOOD, BC
CWDL, DEASE LAKE, BC
CYSW, SPARWOOD/ELK VALLEY, BC
CYDL, DEASE LAKE, BC
CZST, STEWART, BC
CYYE, FORT NELSON, BC
CYXT, TERRACE, BC
CYXJ, FORT ST. JOHN, BC
CYAZ, TOFINO/LONG BEACH, BC
CYGE, GOLDEN, BC
CYVR, VANCOUVER INTL, BC
CYHE, HOPE, BC
CYWH, VICTORIA HARBOUR, BC
CYKA, KAMLOOPS, BC
CYYJ, VICTORIA INTL, BC
CYLW, KELOWNA, BC
CAW4, WHISTLER (HOSPITAL), BC
CWLY, LYTTON, BC
CBE9, WHISTLER (MUNICIPAL), BC
CYZY, MACKENZIE, BC
CWAE, WHISTLER, BC
CZMT, MASSET, BC
CYWL, WILLIAMS LAKE, BC
CWWQ, MUNCHO LAKE, BC
CYBV, BERENS RIVER, MB
CYLL, LLOYDMINSTER, AB
CYBR, BRANDON MUNICIPALITY, MB
CYYL, LYNN LAKE, MB
CYVT, BUFFALO NARROWS, SK
CYLJ, MEADOW LAKE, SK
CYYC, CALGARY INTL, AB
CYXH, MEDICINE HAT, AB
CYBW, CALGARY/SPRINGBANK, AB
CYMJ, MOOSE JAW/AIR VICE MARSHAL C.M. MCEWEN, SK
CYYQ, CHURCHILL, MB
CYBU, NIPAWIN, SK
CYOD, COLD LAKE/GROUP CAPTAIN R.W. MCNAIR, AB
CYQW, NORTH BATTLEFORD, SK
CYDN, DAUPHIN (LT. COL W.G.(BILLY) BARKER VC), MB
CYNE, NORWAY HOUSE, MB
CYEG, EDMONTON INTL, AB
CYPE, PEACE RIVER, AB
CYED, EDMONTON/NAMAO, AB
CZPC, PINCHER CREEK, AB
CZVL, EDMONTON/VILLENEUVE, AB
CYPG, PORTAGE LA PRAIRIE/SOUTHPORT, MB
CYET, EDSON, AB
CWIQ, PRIMROSE LAKE, AB
CYEN, ESTEVAN REGIONAL, SK
CYPA, PRINCE ALBERT (GLASS FIELD), SK
CYFO, FLIN FLON, MB
CYQF, RED DEER REGIONAL, AB
CYPY, FORT CHIPEWYAN, AB
CYQR, REGINA INTL, SK
CYMM, FORT MCMURRAY, AB
CYXE, SASKATOON/JOHN G. DIEFENBAKER INTL, SK
CYGX, GILLAM, MB
CYZH, SLAVE LAKE, AB
CYQU, GRANDE PRAIRIE, AB
CYSF, STONY RAPIDS, SK
CYOJ, HIGH LEVEL, AB
CYYN, SWIFT CURRENT, SK
CYIV, ISLAND LAKE, MB
CYBQ, TADOULE LAKE, MB
CWHN, JIMMY LAKE, SK
CYQD, THE PAS, MB
CYKJ, KEY LAKE, SK
CYTH, THOMPSON, MB
CYKY, KINDERSLEY/KINDERSLEY REGIONAL, SK
CYZU, WHITECOURT, AB
CYVC, LA RONGE (BARBER FIELD), SK
CYWG, WINNIPEG/JAMES ARMSTRONG RICHARDSON INTL, MB
CYQL, LETHBRIDGE, AB
CYQV, YORKTON MUNICIPALITY, SK
CYKD, AKLAVIK/FREDDIE CARMICHAEL, NT
CWKP, KEAT'S POINT, NT
CYXQ, BEAVER CREEK, YT
CWKM, KOMAKUK BEACH, YT
CYDB, BURWASH, YT
CYCO, KUGLUKTUK, NU
CYCB, CAMBRIDGE BAY, NU
CYUJ, LADY FRANKLIN POINT, NU
CZCP, CAPE PARRY, NT
CWLI, LIVERPOOL BAY, NT
CWPX, CAPE PEEL WEST, NU
CYLK, LUTSELKE/LUTSELK'E, NT
CYVL, COLVILLE LAKE/TOMMY KOCHON, NT
CYMA, MAYO, YT
CWXR, CROKER RIVER, NU
CYVQ, NORMAN WELLS, NT
CYDA, DAWSON CITY, YT
CYOC, OLD CROW, YT
CWON, DAWSON, YT
CYPC, PAULATUK/PAULATUK (NORA ALIQATCHIALUK RUBEN), NT
CYWJ, DELINE, NT
CYSY, SACHS HARBOUR (DAVID NASOGALUAK JR. SAARYUAQ), NT
CYOA, EKATI, NT
CYUA, SHINGLE POINT, YT
CZFA, FARO, YT
CWVH, STORM HILLS, YT
CYGH, FORT GOOD HOPE, NT
CYZW, TESLIN, YT
CYJF, FORT LIARD, NT
CYUB, TUKTOYAKTUK/JAMES GRUBEN, NT
CZFM, FORT MCPHERSON, NT
CZFN, TULITA, NT
CYFR, FORT RESOLUTION, NT
CYHI, ULUKHAKTOK/HOLMAN, NT
CYFS, FORT SIMPSON, NT
CYQH, WATSON LAKE, YT
CYSM, FORT SMITH, NT
CYWE, WEKWEETI, NT
CYRA, GAMETI/RAE LAKES, NT
CYXY, WHITEHORSE/ERIK NIELSEN INTL, YT
CWIL, HAT ISLAND, NU
CYWY, WRIGLEY, NT
CYHY, HAY RIVER/MERLYN CARTER AIRPORT, NT
CYZF, YELLOWKNIFE, NT
CYEV, INUVIK (MIKE ZUBKO), NT
